drug,location,sold_on,quantity_purchased,quantity_sold,keep
MAGALDRATE ,13,10-08-18,33,4,No
Ibuprofen ,12,23-04-18,137,1,No
Glucagon ,1,19-09-18,99,6,No
SODIUM CHLORIDE ,10,26-01-18,10,6,Yes
Acyclovir ,8,22-09-16,25,5,No
Ciprofloxacin ,7,16-07-17,49,3,No
Dantrolene ,6,11-01-18,69,9,No
Ciprofloxacin ,10,29-11-18,61,10,No
Nitazoxanide ,12,27-03-17,68,7,No
Trimethoprim ,8,12-01-16,11,9,Yes
Glucagon ,6,02-09-16,23,5,No
MAGALDRATE ,8,16-03-19,35,8,No
Aspirin ,7,06-09-17,82,1,No
Panadol ,7,07-01-18,54,8,No
Aspirin ,8,03-11-16,133,2,No
Aminophylline ,9,02-02-19,46,5,No
Phenothiazines ,4,16-09-16,37,7,No
Estrogens ,11,23-05-16,124,5,No
Acyclovir ,1,10-03-16,113,10,No
Ibuprofen ,1,17-07-17,39,6,No
MAGALDRATE,7,06-02-16,106,9,No
Glucagon ,2,11-08-16,113,8,No
FLUOXETINE ,11,15-07-18,97,3,No
Nitazoxanide ,12,14-10-16,130,1,No
PACLITAXEL ,5,23-01-18,54,8,No
PACLITAXEL ,1,16-06-16,94,8,No
DIPYRIDAMOLE ,6,16-08-16,40,5,No
Panadol ,8,01-09-16,89,1,No
Antihistamines ,4,23-07-17,92,5,No
FLUOXETINE ,10,18-10-17,103,10,No
METRONIDAZOLE ,2,11-06-18,21,5,No
RANITIDINE ,10,15-07-18,71,3,No
Aqueous gentian violet ,1,28-10-18,35,3,No
Ciprofloxacin ,6,12-01-19,63,9,No
Acetaminophen ,12,07-02-19,16,4,No
MAGALDRATE ,9,28-03-19,137,6,No
Nitazoxanide ,10,21-03-16,34,3,No
Keratolytics ,6,16-01-18,43,6,No
Adrenaline ,2,03-10-17,24,6,No
Trimethoprim ,5,01-03-18,39,5,No
Methotrexate ,10,14-03-19,31,4,No
Aminophylline ,8,13-03-17,125,5,No
Chloramphenicol ,1,05-06-17,106,9,No
FLUOXETINE ,5,06-02-17,26,4,No
RANITIDINE ,11,24-08-17,69,8,No
Methotrexate ,3,20-02-18,89,10,No
PACLITAXEL ,12,31-01-18,66,10,No
Panadol ,2,17-12-16,29,1,No
Acyclovir ,11,12-01-17,54,1,No
Glucagon ,7,04-01-16,28,8,No
METRONIDAZOLE ,2,05-08-18,46,4,No
Adrenaline ,9,17-01-19,20,7,No
MAGALDRATE ,8,19-05-17,99,7,No
Hydroxychloroquine ,6,26-08-17,138,5,No
Furazolidone ,9,30-11-18,92,10,No
Trimethoprim ,7,10-08-18,21,10,No
Adrenaline ,7,04-04-18,90,10,No
FLUOXETINE ,5,14-12-16,110,5,No
Nitazoxanide ,3,09-06-18,53,2,No
Panadol ,7,23-02-16,121,5,No
Panadol ,1,01-10-16,101,10,No
RANITIDINE ,5,04-03-18,118,8,No
Dantrolene ,2,23-04-18,36,1,No
SODIUM CHLORIDE ,1,05-02-19,104,6,No
Ciprofloxacin ,11,21-04-18,73,1,No
Furazolidone ,7,11-08-18,116,8,No
Tetracycline ,10,19-04-17,69,3,No
MAGALDRATE,1,01-03-18,64,5,No
Nitazoxanide ,4,05-08-18,91,6,No
FLUOXETINE ,1,01-08-18,103,10,No
Tetracycline ,8,10-06-18,131,6,No
FLUOXETINE ,3,10-10-18,76,5,No
Dantrolene ,12,06-11-17,96,3,No
MAGALDRATE,6,28-11-17,76,10,No
Furazolidone ,2,06-09-18,99,9,No
Acyclovir ,10,25-02-19,139,3,No
Aminophylline ,8,08-02-19,120,5,No
